date,open,high,low,close,volume
2022-11-21,147.65,147.86,145.25,145.54,58724100
2022-11-22,145.66,147.91,144.48,147.67,51804100
2022-11-23,146.96,149.3,146.85,148.55,58301400
2022-11-25,145.83,146.4,144.66,145.64,35195900
2022-11-28,142.72,144.19,140.99,141.81,69246000
2022-11-29,141.88,142.39,138.01,138.81,83763800
2022-11-30,139.04,146.24,138.2,145.56,111380900
2022-12-01,145.74,146.64,144.16,145.83,71250400
2022-12-02,143.52,145.53,143.22,145.34,65447400
2022-12-05,145.3,148.4,143.34,144.18,68826400
2022-12-06,144.62,144.84,139.55,140.52,64727200
2022-12-07,139.82,140.98,137.66,138.59,69721100
2022-12-08,139.98,141.12,138.75,140.27,62128300
2022-12-09,139.96,143.14,138.55,139.79,76097000
2022-12-12,140.32,142.09,138.71,142.08,70462700
2022-12-13,147.01,147.47,141.83,143.04,93886200
2022-12-14,142.92,144.21,138.8,140.82,82291200
2022-12-15,138.76,139.43,133.76,134.22,98931900
2022-12-16,134.41,135.35,131.5,132.27,160156900
2022-12-19,132.86,132.94,129.13,130.16,79592600
2022-12-20,129.2,131.03,127.72,130.09,77432800
2022-12-21,130.76,134.53,130.53,133.19,85928000
2022-12-22,132.11,132.31,128.13,130.02,77852100
2022-12-23,128.74,130.21,127.48,129.66,63814900
2022-12-27,129.19,129.22,126.57,127.86,69007800
2022-12-28,127.51,128.84,123.77,123.94,85438400
2022-12-29,125.85,128.3,125.6,127.45,75703700
2022-12-30,126.27,127.78,125.3,127.76,77034200
2023-01-03,128.11,128.72,122.1,122.98,112117500
2023-01-04,124.77,126.51,122.99,124.25,89113600
2023-01-05,125.01,125.64,122.68,122.93,80962700
2023-01-06,123.91,128.12,122.81,127.46,87754700
2023-01-09,128.29,131.18,127.72,127.98,70790800
2023-01-10,128.09,129.07,125.98,128.55,63896200
2023-01-11,129.06,131.28,128.28,131.26,69458900
2023-01-12,131.65,132.02,129.25,131.18,71379600
2023-01-13,129.83,132.67,129.46,132.51,57809700
2023-01-17,132.58,135.0,131.89,133.67,63646600
2023-01-18,134.54,136.3,132.78,132.95,69672800
2023-01-19,131.84,133.98,131.54,133.01,58280400
2023-01-20,133.02,135.72,131.98,135.57,80223600
2023-01-23,135.81,140.93,135.6,138.76,81760300
2023-01-24,137.97,140.77,137.96,140.15,66435100
2023-01-25,138.54,140.05,136.49,139.49,65799300
2023-01-26,140.78,141.84,139.53,141.56,54105100
2023-01-27,140.77,144.77,140.69,143.49,70555800
2023-01-30,142.54,143.12,140.47,140.61,64015300
2023-01-31,140.32,141.93,139.91,141.88,65874500
2023-02-01,141.57,144.16,138.96,143.0,77663600
2023-02-02,146.42,148.66,145.7,148.3,118339000
2023-02-03,145.56,154.75,145.36,151.92,154357300
2023-02-06,150.02,150.54,148.26,149.2,69858300
2023-02-07,148.13,152.64,148.13,152.07,83322600
2023-02-08,151.31,152.0,148.65,149.38,64120100
2023-02-09,151.21,151.75,147.91,148.35,56007100
2023-02-10,147.19,149.04,146.95,148.72,57450700
2023-02-13,148.66,151.92,148.63,151.51,62199000
2023-02-14,149.81,151.43,148.57,150.87,61707600
2023-02-15,150.78,153.14,150.56,152.97,65573800
2023-02-16,151.18,153.96,151.02,151.38,68167900
2023-02-17,150.04,150.68,148.56,150.23,59144100
2023-02-21,147.92,149.0,146.16,146.22,58867200
2023-02-22,146.61,147.67,144.93,146.65,51011300
2023-02-23,147.81,148.06,145.0,147.13,48394200
2023-02-24,144.88,144.95,143.51,144.48,55469600
2023-02-27,145.47,146.9,145.21,145.67,44998500
2023-02-28,144.82,146.82,144.6,145.17,50547000
2023-03-01,144.6,144.99,142.81,143.1,55479000
2023-03-02,142.19,144.48,141.71,143.69,52238100
